Protein_ID,Peptide_ID,Log_Affinity
1OSG_G_A,1OSG_G_A,1.477121255
1OV3_C_A,1OV3_C_A,2.278753601
1OW6_D_A,1OW6_D_A,3.602059991
1OW8_D_A,1OW8_D_A,3.602059991
1OXG_B_A,1OXG_B_A,-1.568636236
1OXN_F_E,1OXN_F_E,3.322219295
1OXQ_F_E,1OXQ_F_E,2.698970004
1OY7_F_E,1OY7_F_E,3.643452676
1P03_P_A,1P03_P_A,0.806179974
1P04_P_A,1P04_P_A,1.602059991
1P4U_B_A,1P4U_B_A,3.698970004
1PCG_E_A,1PCG_E_A,1.397940009
1PDQ_B_A,1PDQ_B_A,3.698970004
1PRL_A_C,1PRL_A_C,4.770852012
1PTS_P_B,1PTS_P_B,2.602059991
1PZ5_C_A,1PZ5_C_A,3.602059991
1Q4K_D_A,1Q4K_D_A,2.447158031
1QJA_Q_B,1QJA_Q_B,2.619093331
1QJB_Q_A,1QJB_Q_A,2.619093331
1QNG_D_A,1QNG_D_A,1.113943352
1QSC_D_A,1QSC_D_A,5.322219295
1QWE_B_A,1QWE_B_A,3.079181246
1QWF_B_A,1QWF_B_A,2.653212514
1R17_C_A,1R17_C_A,2.57863921
1RLP_R_C,1RLP_R_C,3.903089987
1RST_P_B,1RST_P_B,4.568201724
1RZX_B_A,1RZX_B_A,4.903089987
1SFI_I_A,1SFI_I_A,-1
1SHC_B_A,1SHC_B_A,1.72427587
1SM3_P_H,1SM3_P_H,4.380211242
1SPS_D_A,1SPS_D_A,0.477121255
1T29_B_A,1T29_B_A,2.954242509
1T2V_F_A,1T2V_F_A,2.602059991
1T37_P_A,1T37_P_A,4.653212514
1T7R_B_A,1T7R_B_A,3.041392685
1UEF_C_A,1UEF_C_A,3.505149978
1UJ0_B_A,1UJ0_B_A,4.431363764
1UJJ_C_A,1UJJ_C_A,2.903089987
1UKH_B_A,1UKH_B_A,2.62324929
1UMW_E_A,1UMW_E_A,2.447158031
1UPK_B_A,1UPK_B_A,2.602059991
1UTC_P_A,1UTC_P_A,4.447158031
1UTI_D_A,1UTI_D_A,3.380211242
1VYJ_B_A,1VYJ_B_A,2
1W80_P_A,1W80_P_A,4.456366033
1W9U_C_A,1W9U_C_A,2.908485019
1W9V_C_A,1W9V_C_A,2.662757832
1X8S_B_A,1X8S_B_A,3.903089987
1XB7_P_A,1XB7_P_A,2.77815125
1XN3_I_B,1XN3_I_B,1.602059991
1Y19_A_B,1Y19_A_B,2.230448921
1Y2A_P_C,1Y2A_P_C,1.660865478
1Y3A_E_A,1Y3A_E_A,3.591064607
1Y98_B_A,1Y98_B_A,3.568201724
1YBO_C_A,1YBO_C_A,5.204119983
1YVH_B_A,1YVH_B_A,1.633468456
1YWH_B_A,1YWH_B_A,1.214843848
1YY6_B_A,1YY6_B_A,2.934498451
1ZEA_A_H,1ZEA_A_H,3.77815125
1ZKK_E_A,1ZKK_E_A,4.51851394
1ZUB_B_A,1ZUB_B_A,2.431363764
2A0T_B_A,2A0T_B_A,4.176091259
2A25_B_A,2A25_B_A,4.380211242
2AOF_C_A,2AOF_C_A,4.450249108
2AOH_C_A,2AOH_C_A,4.559906625
2AQ9_X_A,2AQ9_X_A,1.698970004
2ASU_A_B,2ASU_A_B,0
2AZM_C_A,2AZM_C_A,3.342422681
2B2V_D_A,2B2V_D_A,4.230448921
2B7F_I_A,2B7F_I_A,1.698970004
2BBA_P_A,2BBA_P_A,1.84509804
2BGN_W_A,2BGN_W_A,3.301029996
2BGR_Y_A,2BGR_Y_A,5.397940009
2BJ4_C_A,2BJ4_C_A,4.531478917
2BR8_F_A,2BR8_F_A,1.5132176
2BYP_F_A,2BYP_F_A,-0.055517328
2BZ8_C_A,2BZ8_C_A,3.397940009
2CE9_X_A,2CE9_X_A,2.968482949
2CI9_L_A,2CI9_L_A,1.77815125
2CIA_L_A,2CIA_L_A,2.568201724
2CO0_B_A,2CO0_B_A,3.51851394
2DF6_C_A,2DF6_C_A,3.021189299
2DWX_P_A,2DWX_P_A,5.255272505
2EMT_C_A,2EMT_C_A,2.303196057
2F6J_P_A,2F6J_P_A,3.431363764
2FCI_B_A,2FCI_B_A,1.84509804
2FLU_P_X,2FLU_P_X,1.301029996
2FTS_P_A,2FTS_P_A,1.954242509
2FYS_D_A,2FYS_D_A,4.643452676
2G6Q_B_A,2G6Q_B_A,3.176091259
2GFA_C_A,2GFA_C_A,4.017033339
2GPH_B_A,2GPH_B_A,3.698970004
2H2G_B_A,2H2G_B_A,3.963787827
2H2H_B_A,2H2H_B_A,4.021189299
2H9M_B_A,2H9M_B_A,4.544068044
2HDX_G_A,2HDX_G_A,2.740362689
2HMH_B_A,2HMH_B_A,1.84509804
2HUG_B_A,2HUG_B_A,3.025305865
2IG0_B_A,2IG0_B_A,4.294466226
2IV9_P_A,2IV9_P_A,4.662757832
2IVZ_E_A,2IVZ_E_A,2.963787827
2JK9_B_A,2JK9_B_A,2.176091259
2JKR_P_A,2JKR_P_A,2.929418926
2JKT_P_A,2JKT_P_A,2.491361694
2JNW_B_A,2JNW_B_A,2.892094603
2JOA_B_A,2JOA_B_A,3.041392685
2JQ9_B_A,2JQ9_B_A,4.523746467
2JQI_B_A,2JQI_B_A,4
2JQK_B_A,2JQK_B_A,5.604226053
2JQL_B_A,2JQL_B_A,2.477121255
2K00_B_A,2K00_B_A,4.380211242
2K2R_B_A,2K2R_B_A,6.113943352
2K3W_B_A,2K3W_B_A,3.763427994
2K7L_B_A,2K7L_B_A,2.84509804
2KBR_B_A,2KBR_B_A,4.404833717
2KBS_B_A,2KBS_B_A,4
2KE1_B_A,2KE1_B_A,3.698970004
2KFF_B_A,2KFF_B_A,5.389166084
2KFG_B_A,2KFG_B_A,6.079181246
2KFH_B_A,2KFH_B_A,6.380211242
2KGI_B_A,2KGI_B_A,2.875061263
2KHH_B_A,2KHH_B_A,2.440909082
2KNH_B_A,2KNH_B_A,3.84509804
2KOH_B_A,2KOH_B_A,3.77815125
2KPL_B_A,2KPL_B_A,2.361727836
2KS9_B_A,2KS9_B_A,6.955206538
2KSP_B_A,2KSP_B_A,4.755874856
2KUP_B_A,2KUP_B_A,2.301029996
2KVM_B_A,2KVM_B_A,5.035029282
2KWN_B_A,2KWN_B_A,3.86923172
2KZU_B_A,2KZU_B_A,4.77815125
2L0I_B_A,2L0I_B_A,4.176091259
2L11_B_A,2L11_B_A,4.176091259
2L12_B_A,2L12_B_A,4.740362689
2L1B_B_A,2L1B_B_A,5.041392685
2L3R_B_A,2L3R_B_A,4.342422681
2L6E_B_A,2L6E_B_A,3
2L6J_B_A,2L6J_B_A,2.740362689
2L75_B_A,2L75_B_A,2.954242509
2L7U_B_A,2L7U_B_A,5.017033339
2L8J_B_A,2L8J_B_A,3.477121255
2LBM_C_A,2LBM_C_A,2.431363764
2LCS_B_A,2LCS_B_A,2.301029996
2LCT_B_A,2LCT_B_A,3.861534411
2LGF_B_A,2LGF_B_A,3.431363764
2LL7_B_A,2LL7_B_A,0.204119983
2LLO_B_A,2LLO_B_A,3.176091259
2LNW_B_A,2LNW_B_A,3.146128036
2LO6_B_A,2LO6_B_A,5.053078443
2LOZ_B_A,2LOZ_B_A,4.937016107
2LP8_B_A,2LP8_B_A,1.484299839
2LSK_B_A,2LSK_B_A,4.113943352
2LSP_A_B,2LSP_A_B,5.437750563
2LSR_B_A,2LSR_B_A,3.755874856
2LSV_B_A,2LSV_B_A,3.733197265
2LTO_B_A,2LTO_B_A,5.886490725
2M0O_B_A,2M0O_B_A,3.62324929
2M0U_B_A,2M0U_B_A,2.562292864
2M3M_B_A,2M3M_B_A,3.983626287
2M41_A_B,2M41_A_B,3.903089987
2MG5_B_A,2MG5_B_A,2.84509804
2MKR_B_A,2MKR_B_A,2.73239376
2MNZ_B_A,2MNZ_B_A,3.806179974
2MOW_B_A,2MOW_B_A,3.037426498
2MPM_B_A,2MPM_B_A,3.113943352
2MPS_B_A,2MPS_B_A,3.591064607
2MS4_B_A,2MS4_B_A,4.176091259
2MWO_B_A,2MWO_B_A,4.301029996
2MWP_B_A,2MWP_B_A,2.954242509
2MWY_B_A,2MWY_B_A,2.176091259
2N1G_B_A,2N1G_B_A,3.361727836
2N3K_B_A,2N3K_B_A,2.201397124
2N9E_A_B,2N9E_A_B,3.954242509
2N9X_B_A,2N9X_B_A,2.602059991
2NCZ_B_A,2NCZ_B_A,5.147676324
2ND0_B_A,2ND0_B_A,5.802773725
2NDF_B_A,2NDF_B_A,4.774516966
2NDG_B_A,2NDG_B_A,4.28780173
2NM1_B_A,2NM1_B_A,1.531478917
2NMB_B_A,2NMB_B_A,2.72427587
2NWN_B_A,2NWN_B_A,2.698970004
2NXD_P_A,2NXD_P_A,3.342422681
2NXL_P_A,2NXL_P_A,2.73239376
2NXM_P_A,2NXM_P_A,3.806179974
2O9V_B_A,2O9V_B_A,5.459392488
2ODD_B_A,2ODD_B_A,5.039017322
2OI3_B_A,2OI3_B_A,2.361727836
2OQS_B_A,2OQS_B_A,3.113943352
2OVQ_C_B,2OVQ_C_B,1.84509804
2PEH_C_A,2PEH_C_A,3.041392685
2PEM_R_A,2PEM_R_A,5.361727836
2PL9_D_A,2PL9_D_A,4.828659897
2PNX_B_A,2PNX_B_A,3.897627091
2PR9_P_A,2PR9_P_A,1.625312451
2PUY_E_B,2PUY_E_B,4.477121255
2PV1_B_A,2PV1_B_A,1.86332286
2PV2_E_A,2PV2_E_A,3.089905111
2Q8Y_B_A,2Q8Y_B_A,5.008600172
2QBW_B_A,2QBW_B_A,1.748188027
2QBX_D_B,2QBX_D_B,3.77815125
2QIC_B_A,2QIC_B_A,3.51851394
2QL5_G_B,2QL5_G_B,0.903089987
2QQS_C_A,2QQS_C_A,2.602059991
2QT5_X_A,2QT5_X_A,3.973127854
2R02_B_A,2R02_B_A,3.903089987
2R03_B_A,2R03_B_A,3.84509804
2R05_B_A,2R05_B_A,3.84509804
2R0Y_B_A,2R0Y_B_A,6
2R3Y_D_A,2R3Y_D_A,3.505149978
2R7G_B_A,2R7G_B_A,2.954242509
2R9B_C_A,2R9B_C_A,2.432969291
2RNW_B_A,2RNW_B_A,6.021602716
2RNX_B_A,2RNX_B_A,5.604226053
2RNY_B_A,2RNY_B_A,5.338456494
2ROL_B_A,2ROL_B_A,4.380211242
2RQU_B_A,2RQU_B_A,4.372912003
2RR4_B_A,2RR4_B_A,4.222716471
2RT5_B_A,2RT5_B_A,2.278753601
2RVN_B_A,2RVN_B_A,2.230448921
2UZ6_K_A,2UZ6_K_A,0.230448921
2V7D_P_A,2V7D_P_A,2.414973348
2V83_D_A,2V83_D_A,4.5289167
2V85_D_A,2V85_D_A,4.539076099
2V86_D_B,2V86_D_B,4.539076099
2V87_D_A,2V87_D_A,4.399673721
2V88_D_A,2V88_D_A,4.914343157
2VNF_B_A,2VNF_B_A,3.477121255
2VPG_P_A,2VPG_P_A,3.322219295
2VR3_C_A,2VR3_C_A,4.021189299
2VWF_B_A,2VWF_B_A,3.939519253
2W0P_C_A,2W0P_C_A,2.477121255
2W0Z_B_A,2W0Z_B_A,4.972202838
2W10_C_B,2W10_C_B,2.230448921
2W2U_C_A,2W2U_C_A,4.544068044
2W3O_C_A,2W3O_C_A,2.278753601
2W6T_C_B,2W6T_C_B,0.431363764
2W6U_C_B,2W6U_C_B,4
2W73_K_A,2W73_K_A,2.477121255
2W77_C_B,2W77_C_B,-0.187086643
2W78_C_B,2W78_C_B,0.431363764
2W85_B_A,2W85_B_A,3.962369336
2W9R_B_A,2W9R_B_A,3.681241237
2WA8_B_A,2WA8_B_A,3.579783597
2WFJ_B_A,2WFJ_B_A,1.84509804
2WP1_P_A,2WP1_P_A,5.399673721
2XHS_B_A,2XHS_B_A,2.995635195
2XL2_C_A,2XL2_C_A,3.748188027
2XQQ_E_A,2XQQ_E_A,4.181843588
2XRW_B_A,2XRW_B_A,3.851258349
2XS8_B_A,2XS8_B_A,4.389166084
2XXN_B_A,2XXN_B_A,2.591064607
2Y8O_B_A,2Y8O_B_A,3.875061263
2Y9Q_B_A,2Y9Q_B_A,2.84509804
2YNN_P_A,2YNN_P_A,3.832508913
2YNR_B_A,2YNR_B_A,3.230448921
2YNS_C_A,2YNS_C_A,1.397940009
2YQ6_B_A,2YQ6_B_A,1.653212514
2Z5S_P_M,2Z5S_P_M,3.342422681
2Z6W_M_A,2Z6W_M_A,1.127104798
3AL3_B_A,3AL3_B_A,3.322219295
3ASK_P_A,3ASK_P_A,2.568201724
3AX5_B_A,3AX5_B_A,3.146128036
3B95_P_B,3B95_P_B,3.84509804
3BIM_I_A,3BIM_I_A,3.120573931
3BL2_C_A,3BL2_C_A,3.198657087
3BTR_B_C,3BTR_B_C,3.698970004
3BU8_C_A,3BU8_C_A,2.079181246
3BUM_A_B,3BUM_A_B,2.505149978
3BUN_A_B,3BUN_A_B,2.785329835
3BUO_A_B,3BUO_A_B,2.944482672
3BUW_A_B,3BUW_A_B,3.173186268
3BUX_A_B,3BUX_A_B,3.372912003
3C3O_B_A,3C3O_B_A,4.643452676
3C3Q_B_A,3C3Q_B_A,4.681241237
3C3R_B_A,3C3R_B_A,4.612783857
3C6W_B_A,3C6W_B_A,3.380211242
3C88_B_A,3C88_B_A,2.195899652
3C89_B_A,3C89_B_A,2.926856709
3C8A_B_A,3C8A_B_A,2.819543936
3C8B_B_A,3C8B_B_A,2.895422546
3C94_B_A,3C94_B_A,2.133538908
3CFS_E_B,3CFS_E_B,3.041392685
3CFV_E_B,3CFV_E_B,2.954242509
3COJ_H_A,3COJ_H_A,3.716003344
3CYY_C_A,3CYY_C_A,4.225309282
3D1E_P_A,3D1E_P_A,3.230448921
3D1F_P_A,3D1F_P_A,3.255272505
3D32_C_A,3D32_C_A,2.549003262
3D9K_Y_A,3D9K_Y_A,4.278753601
3DIW_C_A,3DIW_C_A,2.278753601
3DNJ_C_A,3DNJ_C_A,2.176091259
3DOW_B_A,3DOW_B_A,4.06069784
3DPC_C_B,3DPC_C_B,4.643452676
3DPO_C_A,3DPO_C_A,0.740362689
3DRF_B_A,3DRF_B_A,2
3DRG_B_A,3DRG_B_A,2
3DRI_B_A,3DRI_B_A,4.57634135
3DS0_T_A,3DS0_T_A,4.173186268
3DS9_B_A,3DS9_B_A,1.612783857
3DVP_C_A,3DVP_C_A,4
3E1R_C_A,3E1R_C_A,3.176091259
3EBB_E_A,3EBB_E_A,3.698970004
3EG6_C_A,3EG6_C_A,3.230448921
3EMH_B_A,3EMH_B_A,2.146128036
3EOV_C_A,3EOV_C_A,1.799340549
3EQS_B_A,3EQS_B_A,0.51851394
3EQY_C_A,3EQY_C_A,0.949390007
3EU7_X_A,3EU7_X_A,2.819543936
3FDT_T_A,3FDT_T_A,4.477121255
3FWV_C_A,3FWV_C_A,3.361727836
3G2S_C_A,3G2S_C_A,2.77815125
3G2U_C_A,3G2U_C_A,3.73239376
3G2W_C_A,3G2W_C_A,3.342422681
3G7L_P_A,3G7L_P_A,2.278753601
3GDS_B_A,3GDS_B_A,2.491361694
3GJQ_E_A,3GJQ_E_A,3.672097858
3GJT_E_A,3GJT_E_A,2.230448921
3H1Z_P_A,3H1Z_P_A,4.342422681
3H52_N_A,3H52_N_A,4.146128036
3H6Z_L_A,3H6Z_L_A,3.176091259
3H85_P_A,3H85_P_A,3.77815125
3H91_C_A,3H91_C_A,5.267171728
3HIK_B_A,3HIK_B_A,2.648360011
3HQH_M_A,3HQH_M_A,4.803457116
3HS8_P_A,3HS8_P_A,3.698970004
3HS9_P_A,3HS9_P_A,2.69019608
3I5R_B_A,3I5R_B_A,4.602059991
3IBC_E_A,3IBC_E_A,4.093421685
3IIW_B_A,3IIW_B_A,4.561101384
3IIY_B_A,3IIY_B_A,4.204119983
3IJ0_B_A,3IJ0_B_A,4.120573931
3IJ1_B_A,3IJ1_B_A,4.301029996
3IQG_P_X,3IQG_P_X,4.396199347
3IQH_P_X,3IQH_P_X,4.411619706
3IQI_P_X,3IQI_P_X,4.587710965
3IQJ_P_A,3IQJ_P_A,4.068185862
3IQQ_B_A,3IQQ_B_A,3.462397998
3IQU_P_A,3IQU_P_A,4.230448921
3ISW_C_A,3ISW_C_A,4.954242509
3IUX_B_A,3IUX_B_A,1.399673721
3IVV_D_A,3IVV_D_A,3.568201724
3IWY_B_A,3IWY_B_A,1.72427587
3JPX_B_A,3JPX_B_A,5.371067862
3JVK_C_A,3JVK_C_A,5.071882007
3JZH_B_A,3JZH_B_A,5.602059991
3K05_C_A,3K05_C_A,4.146128036
3K0H_B_A,3K0H_B_A,4.397940009
3K26_B_A,3K26_B_A,5.602059991
3K27_B_A,3K27_B_A,4.556302501
3KTR_B_A,3KTR_B_A,2.84509804
3KZE_D_A,3KZE_D_A,5.049218023
3L3Q_B_A,3L3Q_B_A,1.725911632
3L6X_B_A,3L6X_B_A,4.602059991
3L81_B_A,3L81_B_A,4.471291711
3LGL_B_A,3LGL_B_A,2.954242509
3LL8_E_A,3LL8_E_A,2.602059991
3LNJ_B_A,3LNJ_B_A,2.340444115
3LNZ_B_A,3LNZ_B_A,-0.30980392
3LQI_R_A,3LQI_R_A,3.838849091
3M17_I_A,3M17_I_A,1.602059991
3ME9_C_A,3ME9_C_A,2.698970004
3MEU_C_A,3MEU_C_A,2.698970004
3ML4_E_A,3ML4_E_A,3.672097858
3MO8_B_A,3MO8_B_A,5.903089987
3MP1_P_A,3MP1_P_A,2.903089987
3MUK_D_A,3MUK_D_A,5.579783597
3MXC_L_A,3MXC_L_A,2.456517858
3MXY_L_A,3MXY_L_A,2.585235063
3N5E_D_A,3N5E_D_A,2.178976947
3N5U_C_A,3N5U_C_A,3.079181246
3NF3_C_A,3NF3_C_A,2.804888745
3NFK_C_A,3NFK_C_A,5.204119983
3NFL_E_A,3NFL_E_A,4.62324929
3NIN_D_A,3NIN_D_A,4.093421685
3NKX_P_A,3NKX_P_A,3.875061263
3NTH_C_A,3NTH_C_A,4.681241237
3NTI_C_A,3NTI_C_A,3.77815125
3O0E_L_A,3O0E_L_A,3.255272505
3O1D_B_A,3O1D_B_A,3.255272505
3OAP_B_A,3OAP_B_A,2.740362689
3OB1_A_B,3OB1_A_B,3.583198774
3OB2_A_B,3OB2_A_B,4.411619706
3OBQ_B_A,3OBQ_B_A,5.462397998
3OBX_B_A,3OBX_B_A,5.113943352
3OE0_I_A,3OE0_I_A,0.397940009
3OMC_C_A,3OMC_C_A,4
3OMG_C_A,3OMG_C_A,4.278753601
3OQ5_D_A,3OQ5_D_A,4.447158031
3P4F_B_A,3P4F_B_A,3.342422681
3PDH_D_A,3PDH_D_A,2.26245109
3PKN_B_A,3PKN_B_A,4.342422681
3PLU_C_A,3PLU_C_A,3.227886705
3POA_B_A,3POA_B_A,2
3PQZ_L_A,3PQZ_L_A,4.544068044
3PSL_C_A,3PSL_C_A,2.113943352
3PUJ_C_A,3PUJ_C_A,4.491361694
3PUK_C_A,3PUK_C_A,4.255272505
3PXE_E_A,3PXE_E_A,3.301029996
3Q4J_H_B,3Q4J_H_B,2.787460475
3Q4K_C_A,3Q4K_C_A,1.949390007
3Q5U_B_A,3Q5U_B_A,4.687528961
3Q6S_E_A,3Q6S_E_A,2.255272505
3Q8D_E_A,3Q8D_E_A,1.77815125
3QN7_B_A,3QN7_B_A,2.195899652
3QNJ_C_A,3QNJ_C_A,3
3QO2_P_A,3QO2_P_A,2.146128036
3QW5_B_A,3QW5_B_A,2.553883027
3QZV_C_A,3QZV_C_A,4.838849091
3R0H_A_B,3R0H_A_B,3.079181246
3R42_B_A,3R42_B_A,4.924279286
3RBQ_G_A,3RBQ_G_A,2.73239376
3RDV_E_A,3RDV_E_A,4.089905111
3RL7_G_A,3RL7_G_A,4.260071388
3RQE_E_C,3RQE_E_C,4.230448921
3RQF_E_A,3RQF_E_A,4.591064607
3RQG_E_C,3RQG_E_C,4.361727836
3RTX_C_A,3RTX_C_A,5.1430148
3RZ9_B_A,3RZ9_B_A,2.079181246
3SHV_C_A,3SHV_C_A,2.342422681
3SNA_H_A,3SNA_H_A,4.861713588
3SNB_H_A,3SNB_H_A,4.615318657
3SNC_H_A,3SNC_H_A,4.612571954
3SND_C_A,3SND_C_A,3.91750551
3SO6_Q_A,3SO6_Q_A,3.612783857
3SOU_D_A,3SOU_D_A,3.322219295
3SW9_P_A,3SW9_P_A,3.62324929
3SXU_C_A,3SXU_C_A,3.949390007
3T5I_Q_D,3T5I_Q_D,2.176091259
3T6B_C_A,3T6B_C_A,2.643452676
3T6R_D_B,3T6R_D_B,3.342422681
3T7G_D_B,3T7G_D_B,3.800717078
3TDU_E_B,3TDU_E_B,3.33243846
3TDZ_E_A,3TDZ_E_A,2.176091259
3TG5_B_A,3TG5_B_A,4.301029996
3TIW_C_A,3TIW_C_A,1.328379603
3TKZ_P_A,3TKZ_P_A,3.079181246
3TL0_B_A,3TL0_B_A,2.414973348
3TPX_B_A,3TPX_B_A,-0.346787486
3TSZ_B_A,3TSZ_B_A,4.544068044
3TWR_E_A,3TWR_E_A,3.806179974
3TWS_E_A,3TWS_E_A,3.477121255
3TWU_B_A,3TWU_B_A,3.380211242
3TWV_E_A,3TWV_E_A,4.235528447
3TWW_C_A,3TWW_C_A,3.62324929
3TWX_C_A,3TWX_C_A,3.740362689
3TZD_T_A,3TZD_T_A,4.716003344
3U1I_E_C,3U1I_E_C,3.748188027
3U2Q_B_A,3U2Q_B_A,0.77815125
3U3F_E_A,3U3F_E_A,3.903089987
3UAL_P_A,3UAL_P_A,3.190331698
3UAT_B_A,3UAT_B_A,2.342422681
3UED_B_A,3UED_B_A,4.471291711
3UEO_E_B,3UEO_E_B,4.973127854
3UI2_B_A,3UI2_B_A,2.633468456
3UIG_P_A,3UIG_P_A,3.681241237
3UIH_P_A,3UIH_P_A,5.08278537
3UII_P_A,3UII_P_A,4
3UNN_B_A,3UNN_B_A,4.602059991
3UPV_B_A,3UPV_B_A,3.698970004
3URI_B_A,3URI_B_A,0
3UVK_B_A,3UVK_B_A,2.204119983
3UVL_B_A,3UVL_B_A,3.307496038
3UVM_B_A,3UVM_B_A,1.477121255
3UVN_B_A,3UVN_B_A,2.414973348
3UVO_B_A,3UVO_B_A,2
3UVU_B_A,3UVU_B_A,1.62324929
3UVW_B_A,3UVW_B_A,3.832508913
3UVX_B_A,3UVX_B_A,4.663700925
3UW9_E_A,3UW9_E_A,4.437750563
3UXG_B_A,3UXG_B_A,5.037426498
3UZD_B_A,3UZD_B_A,3.954242509
3V2O_B_A,3V2O_B_A,3.69019608
3V2X_B_A,3V2X_B_A,3.653212514
3V30_B_A,3V30_B_A,5.264817823
3V31_B_A,3V31_B_A,3.204119983
3V3B_C_B,3V3B_C_B,1.740362689
3V43_Q_A,3V43_Q_A,4.367355921
3V7D_E_B,3V7D_E_B,2.612783857
3VA4_C_B,3VA4_C_B,4.602059991
3WDC_B_A,3WDC_B_A,1.079181246
3WP0_B_A,3WP0_B_A,4.008600172
3WP1_A_B,3WP1_A_B,4.149219113
3WSY_C_A,3WSY_C_A,2.644438589
3WUT_C_A,3WUT_C_A,2.509202522
3WUU_C_A,3WUU_C_A,3.86332286
3WUV_C_A,3WUV_C_A,3.826074803
3ZEV_C_A,3ZEV_C_A,0.361727836
3ZKE_B_A,3ZKE_B_A,2.204119983
3ZMT_C_A,3ZMT_C_A,4.45331834
3ZMU_C_A,3ZMU_C_A,4.695481676
3ZMV_C_A,3ZMV_C_A,4.740362689
3ZMZ_C_A,3ZMZ_C_A,4.255272505
3ZN0_C_A,3ZN0_C_A,4.029383778
3ZN1_C_A,3ZN1_C_A,4.463892989
3ZQI_C_A,3ZQI_C_A,1.806179974
3ZVY_C_A,3ZVY_C_A,3.897627091
4A0J_C_A,4A0J_C_A,3
4A1W_P_A,4A1W_P_A,1.698970004
4A2A_C_A,4A2A_C_A,4.653212514
4A7J_B_A,4A7J_B_A,2
4AA1_P_A,4AA1_P_A,4.880813592
4AA2_P_A,4AA2_P_A,5.029383778
4ABI_B_A,4ABI_B_A,0.799340549
4ABJ_B_A,4ABJ_B_A,1.531478917
4AIF_D_A,4AIF_D_A,4.158362492
4AOM_T_A,4AOM_T_A,1.929418926
4APH_P_A,4APH_P_A,3.602059991
4APO_D_B,4APO_D_B,4.089905111
4AZA_B_A,4AZA_B_A,2.012837225
4B4N_B_A,4B4N_B_A,5.558708571
4B60_C_A,4B60_C_A,3.568201724
4B8O_B_A,4B8O_B_A,0.602059991
4B8P_C_A,4B8P_C_A,2.146128036
4B8Y_B_A,4B8Y_B_A,0.954242509
4B9W_P_A,4B9W_P_A,4.832508913
4BA3_B_A,4BA3_B_A,3.462397998
4BD3_B_A,4BD3_B_A,4.462397998
4BEA_B_A,4BEA_B_A,0.698970004
4BG6_Q_A,4BG6_Q_A,1.838849091
4BLB_E_A,4BLB_E_A,3.650307523
4BT9_C_A,4BT9_C_A,5.156851901
4BTB_C_A,4BTB_C_A,3.991226076
4BXU_B_A,4BXU_B_A,2
4CC2_B_A,4CC2_B_A,4.667452953
4CC3_B_A,4CC3_B_A,4.860338007
4CH2_P_B,4CH2_P_B,3.012837225
4CY1_C_B,4CY1_C_B,2.257678575
4CZS_E_A,4CZS_E_A,4
4DGB_B_A,4DGB_B_A,5.113943352
4DJS_B_A,4DJS_B_A,1.113943352
4DMA_E_A,4DMA_E_A,2.812913357
4DOW_C_A,4DOW_C_A,3.982271233
4DS1_B_A,4DS1_B_A,4.252853031
4DX9_L_I,4DX9_L_I,3.698970004
4E34_C_A,4E34_C_A,2.986771734
4E35_C_A,4E35_C_A,4.380211242
4E3B_C_A,4E3B_C_A,2.954242509
4E81_C_A,4E81_C_A,3.763427994
4E9C_B_A,4E9C_B_A,3.041392685
4EOY_D_A,4EOY_D_A,2.5132176
4EP2_B_A,4EP2_B_A,3.646403726
4EQF_B_A,4EQF_B_A,2.190331698
4ERQ_D_A,4ERQ_D_A,1.875061263
4ERY_D_A,4ERY_D_A,1.73239376
4ERZ_D_C,4ERZ_D_C,1.944482672
4ES0_C_A,4ES0_C_A,2.012837225
4ESG_C_B,4ESG_C_B,3.441223674
4EWR_C_A,4EWR_C_A,2.733197265
4EZO_C_A,4EZO_C_A,2.477121255
4EZQ_B_A,4EZQ_B_A,3.799340549
4EZR_B_A,4EZR_B_A,3.799340549
4EZT_B_A,4EZT_B_A,3.86923172
4EZX_C_A,4EZX_C_A,3.204119983
4EZY_B_A,4EZY_B_A,3.354108439
4EZZ_B_A,4EZZ_B_A,3.806179974
4F14_B_A,4F14_B_A,4.111598525
4F20_Q_A,4F20_Q_A,5.70612011
4FBX_B_A,4FBX_B_A,1.342422681
4FCM_C_A,4FCM_C_A,5.06069784
4FI9_B_A,4FI9_B_A,1.658964843
4FMN_C_A,4FMN_C_A,2.903089987
4FMO_C_A,4FMO_C_A,3.46834733
4FMQ_B_A,4FMQ_B_A,3.954242509
4FN5_B_A,4FN5_B_A,2.238046103
4FT2_P_B,4FT2_P_B,3.361727836
4FYS_C_A,4FYS_C_A,4.176091259
4GAO_C_B,4GAO_C_B,3.255272505
4GLY_B_A,4GLY_B_A,3.886490725
4GNE_B_A,4GNE_B_A,6.531478917
4GNF_C_A,4GNF_C_A,5.653212514
4GPK_M_A,4GPK_M_A,1.477121255
4GQ6_B_A,4GQ6_B_A,1.72427587
4GVC_B_A,4GVC_B_A,4.285557309
4GXL_B_A,4GXL_B_A,3.716003344
4GY5_E_A,4GY5_E_A,2.176091259
4H3Q_B_A,4H3Q_B_A,3.903089987
4H75_B_A,4H75_B_A,2.397940009
4HCZ_C_A,4HCZ_C_A,4.556302501
4HGC_I_A,4HGC_I_A,-1
4HPY_P_H,4HPY_P_H,-0.920818754
4HT6_B_A,4HT6_B_A,2.792391689
4HY9_C_A,4HY9_C_A,1.903089987
